epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0789,0.70096,1.59475,1.13033,0.89963,0.94764,0.96879,0.83016,0.55516,1.83531,1.07933,0.000650794,0.000650794,0.000650794
2,20.0174,0.72392,1.1016,1.12861,0.87578,0.81206,0.92997,0.69118,0.84523,1.49038,1.36304,0.00130877,0.00130877,0.00130877
3,28.5572,0.74315,0.95653,1.11358,0.05941,0.3089,0.03542,0.01119,2.46022,4.04592,3.16289,0.00195794,0.00195794,0.00195794
4,36.6078,0.74519,0.87411,1.12003,0.66593,0.7644,0.77073,0.45208,1.26873,1.59159,1.56913,0.0019604,0.0019604,0.0019604
5,44.6301,0.71272,0.72173,1.10261,0.91655,0.84817,0.94405,0.72902,0.77485,0.95388,1.22133,0.0019472,0.0019472,0.0019472
6,52.5442,0.69885,0.70113,1.09845,0.79289,0.88192,0.9273,0.67983,0.90101,1.05779,1.30466,0.001934,0.001934,0.001934
7,60.6397,0.67076,0.6177,1.08455,0.77147,0.75916,0.8502,0.59621,0.99048,1.65552,1.4389,0.0019208,0.0019208,0.0019208
8,68.5296,0.61742,0.57918,1.05574,0.91633,0.9267,0.96907,0.77652,0.6944,0.70684,1.1452,0.0019076,0.0019076,0.0019076
9,76.4838,0.65737,0.55597,1.07122,0.98411,0.97261,0.99345,0.86508,0.53907,0.49012,1.04318,0.0018944,0.0018944,0.0018944
10,84.4955,0.60792,0.51861,1.04291,0.9947,0.98222,0.99469,0.8869,0.50113,0.41227,0.96466,0.0018812,0.0018812,0.0018812
11,92.6018,0.59392,0.51823,1.04361,0.97434,0.99391,0.99438,0.91115,0.45043,0.42276,0.93884,0.001868,0.001868,0.001868
12,100.781,0.55752,0.48752,1.02481,0.98941,0.97826,0.99418,0.89743,0.44097,0.4307,0.93745,0.0018548,0.0018548,0.0018548
13,108.929,0.53873,0.46586,1.00928,0.99186,1,0.99495,0.8903,0.46597,0.37173,0.96861,0.0018416,0.0018416,0.0018416
14,116.95,0.53362,0.4581,0.99217,0.9923,1,0.99495,0.91763,0.44778,0.36604,0.93669,0.0018284,0.0018284,0.0018284
15,125.267,0.54452,0.4511,1.01275,0.98194,0.99476,0.9941,0.88743,0.45749,0.40613,0.95808,0.0018152,0.0018152,0.0018152
16,133.25,0.53924,0.44795,1.01567,0.99268,0.99476,0.995,0.92484,0.39395,0.33342,0.90106,0.001802,0.001802,0.001802
17,141.357,0.52849,0.4324,1.00257,0.95496,0.98429,0.99149,0.90145,0.47012,0.39447,0.96708,0.0017888,0.0017888,0.0017888
18,149.47,0.53516,0.42781,1.00097,0.9628,0.94855,0.98044,0.85794,0.55754,0.42907,1.04293,0.0017756,0.0017756,0.0017756
19,157.731,0.51766,0.40852,1.00159,0.98425,0.98127,0.99153,0.88523,0.48116,0.37218,0.96612,0.0017624,0.0017624,0.0017624
20,165.83,0.53311,0.42069,1.01087,0.97547,0.98953,0.9936,0.93306,0.39223,0.357,0.91363,0.0017492,0.0017492,0.0017492
21,174.079,0.52388,0.40818,1.00126,0.98446,0.99516,0.99357,0.94072,0.36548,0.30017,0.89195,0.001736,0.001736,0.001736
22,182.111,0.50915,0.40845,0.99415,0.99433,1,0.9949,0.93025,0.39055,0.32311,0.89079,0.0017228,0.0017228,0.0017228
23,190.432,0.51269,0.39374,0.99181,0.99965,1,0.995,0.92471,0.35915,0.2831,0.86861,0.0017096,0.0017096,0.0017096
24,198.628,0.48965,0.39094,0.98624,0.998,1,0.995,0.9315,0.37807,0.31053,0.89129,0.0016964,0.0016964,0.0016964
25,206.792,0.48842,0.38714,0.98099,0.98963,0.99922,0.99495,0.93467,0.37902,0.31751,0.90028,0.0016832,0.0016832,0.0016832
26,215.006,0.48535,0.38706,0.98315,0.98962,0.99881,0.99458,0.94099,0.36169,0.29922,0.8756,0.00167,0.00167,0.00167
27,223.37,0.48033,0.37457,0.98736,0.93509,0.82967,0.9021,0.64462,0.96056,0.76242,1.41767,0.0016568,0.0016568,0.0016568
28,231.355,0.48615,0.38013,0.99977,0.89196,0.99411,0.97814,0.91247,0.39205,0.35985,0.90935,0.0016436,0.0016436,0.0016436
29,239.319,0.47599,0.37261,0.98142,0.98958,0.99415,0.99468,0.91054,0.40934,0.357,0.92153,0.0016304,0.0016304,0.0016304
30,247.311,0.46598,0.3527,0.96967,0.99872,1,0.995,0.92908,0.39316,0.28547,0.91579,0.0016172,0.0016172,0.0016172
31,255.533,0.46724,0.35823,0.97498,0.99994,1,0.995,0.94862,0.33784,0.2604,0.88143,0.001604,0.001604,0.001604
32,263.587,0.45484,0.36029,0.97135,0.99828,1,0.995,0.9536,0.32411,0.25231,0.86105,0.0015908,0.0015908,0.0015908
